"21,18,12,1,17,20"
"14,34,29,4,11,27"
"3,1,35,9,10,22"
"22,19,10,17,26,11"
"4,18,35,10,29,11"
"9,10,35,3,13,16"
"2,8,28,36,38,6"
"25,37,13,4,11,16"
"30,35,10,31,38,3"
"11,14,1,27,38,17"
"26,22,19,35,2,10"
"38,32,25,29,33,15"
"22,37,30,14,6,31"
"2,35,5,15,4,30"
"6,33,21,18,7,19"
"37,7,35,28,31,16"
"2,20,6,7,9,10"
"34,17,20,15,16,13"
"2,33,38,21,22,26"
"29,23,1,38,15,5"
"9,3,21,32,7,13"
"24,7,16,4,22,32"
"27,25,22,19,11,15"
"7,2,33,15,29,17"
"7,11,21,37,30,16"
"15,25,14,34,9,12"
"2,30,28,21,36,1"
"5,12,11,3,4,32"
"17,3,35,1,26,31"
"12,7,27,30,5,6"
"28,37,26,23,17,2"
"18,6,9,13,8,15"
"6,4,29,33,7,3"
"7,29,10,32,15,3"
"32,2,10,37,24,22"
"13,27,24,18,7,20"
"25,22,14,21,27,19"
"32,3,10,15,25,20"
"32,37,34,15,36,13"
"6,8,34,12,33,37"
"7,28,24,1,2,4"
"29,15,32,38,11,34"
"4,30,6,13,32,22"
"5,16,25,6,17,30"
"25,7,4,21,5,37"
"15,11,20,19,24,30"
"16,17,19,25,29,23"
"10,2,1,38,16,20"
"5,13,3,12,38,16"
"11,6,20,4,24,14"
"2,36,11,24,33,3"
"29,16,13,37,21,14"
"3,8,23,2,18,19"
"13,35,37,30,24,3"
"13,14,25,5,26,32"
"32,36,15,20,1,31"
"6,38,10,15,27,4"
"4,6,24,19,29,32"
"16,35,27,37,31,30"
"23,25,35,6,3,33"
"35,1,27,19,4,18"
"1,31,30,28,5,25"
"17,26,5,19,25,13"
"2,23,33,10,6,18"
"13,6,32,30,25,31"
"6,31,29,12,22,24"
"36,35,6,9,32,27"
"30,8,18,10,21,19"
"16,13,7,31,18,36"
"22,38,4,14,16,37"
"30,15,31,24,20,12"
"12,33,38,35,8,32"
"30,16,33,24,32,38"
"23,5,6,4,25,18"
"33,24,1,9,6,18"
"20,29,25,21,24,23"
"36,4,2,32,29,13"
"32,28,11,24,29,4"
"22,37,8,17,9,1"
"3,12,33,17,24,2"
"20,19,13,4,1,7"
"21,23,9,29,10,6"
"27,4,14,1,26,12"
"6,15,18,16,7,13"
"18,6,26,20,34,36"
"5,17,18,31,15,28"
"28,37,4,33,36,19"
"25,33,8,7,11,17"
"6,21,8,5,7,24"
"36,12,7,25,27,5"
"23,13,22,14,21,12"
"11,16,6,10,32,9"
"21,12,3,25,30,4"
"22,9,38,4,25,17"
"6,35,2,25,21,28"
"21,7,16,15,31,5"
"36,33,34,7,11,35"
"16,10,30,19,11,27"
"6,28,1,2,10,11"
"36,6,37,20,24,14"
"33,21,4,5,38,16"
"11,12,18,8,19,2"
"22,13,24,37,36,30"
"8,24,13,18,30,36"
"5,1,3,25,12,9"
"35,17,2,16,12,1"
"26,21,8,24,12,19"
"36,3,20,26,16,28"
"16,32,7,3,14,1"
"5,1,14,2,6,16"
"29,14,12,25,24,33"
"35,22,4,8,1,12"
"31,18,35,28,32,13"
"13,11,26,24,36,9"
"3,29,24,17,26,23"
"5,17,25,15,19,4"
"1,29,11,5,26,12"
"28,18,34,31,33,30"
"32,15,22,14,4,36"
"18,14,38,19,9,21"
"31,27,16,30,17,15"
"26,18,17,28,31,14"
"18,15,21,17,35,5"
"25,26,38,9,27,15"
"37,30,7,1,21,20"
"34,28,29,25,37,20"
"18,36,33,16,35,6"
"19,2,12,30,8,13"
"31,23,21,27,4,6"
"16,24,21,37,11,35"
"17,28,1,26,10,4"
"38,8,16,30,14,5"
"22,28,8,15,24,7"
"34,27,30,33,25,2"
"32,38,3,22,35,2"
"28,7,29,22,31,26"
"22,32,6,34,24,8"
"12,1,25,7,23,10"
"26,18,35,30,5,12"
"16,30,36,2,7,25"
"9,20,23,18,16,15"
"7,27,10,26,30,17"
"8,16,9,2,1,21"
"6,15,3,32,11,25"
"23,32,1,3,33,15"
"19,7,20,8,29,3"
"35,8,36,20,13,19"
"13,31,34,12,32,28"
"12,17,38,20,18,28"
"35,16,9,3,10,20"
"15,10,32,4,28,17"
"7,29,11,24,23,27"
"22,3,20,27,1,21"
"21,36,13,9,25,33"
"20,22,6,4,28,17"
"2,17,3,30,13,24"
"21,12,36,28,1,20"
"19,25,35,23,22,4"
"26,31,3,10,6,17"
"10,9,35,36,5,3"
"28,25,4,20,27,23"
"6,15,19,12,8,25"
"31,21,22,37,6,35"
"27,4,33,26,32,12"
"6,36,28,26,10,11"
"29,17,2,25,15,9"
"26,33,17,20,32,19"
"5,29,17,28,24,23"
"30,16,7,23,26,34"
